created_at,text,cleaned_text
Sun May 25 11:58:22 +0000 2025,Sepanjang jalan hujan deres banyak motor mati lampu depan belakang ud kek punya nyawa double aj mereka. Bolak balik hampir nabrak saking gelapnya ni kaca depan.,jalan hujan deres motor mati lampu kek nyawa double bolak nabrak saking gelap kaca
Sun May 25 04:59:45 +0000 2025,@infomalang @dhiekcorpse @yusufgunawan @PemkotMalang Ini bahaya nemen apalagi di Jl Wilis situ lampu jalan e banyak yg mati. Pemkot ini org²nya pada ke mana ya? Gak pernah lewat jalan seperti rakyat biasa ta kok gak aware sama jalan rusak kayak gini padahal ini wilayah kota.,user user user user bahaya nemen jalan wilis lampu jalan mati pemkot orang jalan rakyat aware jalan rusak kayak gin wilayah kota
Sun May 25 02:24:56 +0000 2025,@GNFI Dari pada pakai panel di rel kereta coba lampu jalan per daerah dibenerin dulu kack. Karena dibali sy kurang paham apakah lampunya pakai tenaga surya tapi yg pasti tiap malem selalu mati &amp; gelap daerah bypass ,user pakai panel rel kereta coba lampu jalan daerah dibenerin kack bal paham lampu pakai tenaga surya malem mati gelap daerah bypass
Sat May 24 17:03:58 +0000 2025,@ARSIPAJA masih banyak jalan rusak lampu jalan kalo malam mati malah bikin program yg akhirnya cuman jd tai... emg bosookkkk,user jalan rusak lampu jalan kalo malam mati program cuman tai bosook
Sat May 24 15:39:16 +0000 2025,@FogellNeedBeers @tanyarlfes lampu merah stop an gt jg sering mati wkwkwk bayangin perempatan jalan gede tapi lampu lalu lintasnya mati semua maju apa ga ketabrak,user user lampu merah stop mati wkwkwk bayangin empat jalan gede lampu lintas mati maju tabrak
Sat May 24 12:23:10 +0000 2025,@MasMasBiassaa foglamp itu klo sy ta anggap lampu 'emergency' alias nek bohlam utama tiba2 mati di jalan masih ada foglamp utk cadangan ,user foglamp anggap lampu emergency alias nek bohlam utama mati jalan foglamp utk cadang
Sat May 24 11:09:10 +0000 2025,@MasMasBiassaa Jelas A apalagi skrg fog lamp udah beralih jd lampu utama headlamp pada mati. Silau pula bikin mata picek. Soal jalan rusak ya pemerintahnya yg goblok.,user fog lamp alih lampu utama headlamp mati silau mata picek jalan rusak perintah goblok
Sat May 24 10:20:18 +0000 2025,@mphiit12 iyaaa anjir pitgue dr td mondar mandir nyari yg ga mati lampu cokk ini masih jalan smbil nge tweet KAMI HAUS HARQEEL 173 #HQ_AGZEPS173 #AsmaraGenZSolid173 #HARQEEL,user waw pitgue mondar mandir nyari mati lampu cokk jalan smbil nge tweet haus harqeel
Sat May 24 10:09:38 +0000 2025,Mati lampu minimal 4 jam sehari -&gt; sidin manukar genset atau staycation PDAM kada mangalir -&gt; sidin manukar galon n air tandon keliling Jalanan hibak debu berbulan2 kada tuntung2 perbaikan jalan-&gt; bemasker ay ding sanak Sapalah itu? Balikpapan aja pang itu,mati lampu minimal jam sidin manukar genset staycation pdam kada mangalir sidin manukar galon air tandon keliling jalan hibak debu bulan kada tuntung baik jalan bemasker ding sanak sapa balikpapan pang
Sat May 24 04:58:48 +0000 2025,@is_pelssy Kapan ya koruptor dihukum mati. Pembunuh ini korban nya cuma satu. Berapa ribu orang mati karena koruptor. Ga bisa berobat. Jatuh di jalan karena jalan lubang. Tabrakan karena lampu jalan mati. Ga bisa sekolah akhirnya miskin terus bunuh diri,user koruptor hukum mati bunuh korban ribu orang mati koruptor obat jatuh jalan jalan lubang tabrak lampu jalan mati sekolah miskin bunuh
